method_name,cluster_label
readObject,0
writeObject,0
insertBefore,1
replaceChild,1
getNodeListCache,2
freeNodeListCache,2
isXMLName,3
isValidQName,3
isXML11Version,3
createAttribute,4
createElement,4
createEntityReference,4
createProcessingInstruction,4
createEntity,4
createNotation,4
createElementDefinition,4
changed,5
changes,5
getDocumentURI,6
getBaseURI,6
setDocumentURI,6
setXmlStandalone,7
getXmlStandalone,7
setXmlEncoding,8
getXmlEncoding,8
clearIdentifiers,9
getIdentifier,9
removeIdentifier,9
getIdentifiers,9
getUserDataRecord,10
removeUserDataTable,10
setUserDataTable,10
isXMLVersionChanged,11
getElementById,12
callUserDataHandlers,13
getDomConfig,14
setErrorChecking,15
setStrictErrorChecking,15
getErrorChecking,15
getStrictErrorChecking,15
checkNamespaceWF,15
checkDOMNSErr,15
clone,16
getOwnerDocument,17
getNodeType,17
getNodeName,17
getTextContent,17
setTextContent,17
createCDATASection,17
createComment,17
createDocumentFragment,17
createTextNode,17
getElementsByTagName,17
getImplementation,17
canRenameElements,17
getAsync,17
setAsync,17
abort,17
load,17
loadXML,17
setMutationEvents,17
getMutationEvents,17
createDocumentType,17
createElementNS,17
createAttributeNS,17
getElementsByTagNameNS,17
isNormalizeDocRequired,17
addEventListener,17
removeEventListener,17
copyEventListeners,17
dispatchEvent,17
replacedText,17
deletedText,17
insertedText,17
modifyingCharacterData,17
modifiedCharacterData,17
insertingNode,17
insertedNode,17
removingNode,17
removedNode,17
replacingNode,17
replacedNode,17
replacingData,17
replacedCharacterData,17
modifiedAttrValue,17
setAttrNode,17
removedAttrNode,17
renamedAttrNode,17
renamedElement,17
getInputEncoding,18
setInputEncoding,18
setUserData,19
getNodeNumber,20
putIdentifier,21
getUserData,22
renameNode,23
isKidOK,24
replaceRenameElement,25
getXmlVersion,26
cloneNode,27
undeferChildren,28
setXmlVersion,29
getStandalone,30
normalizeDocument,31
setStandalone,32
getVersion,33
setVersion,34
getEncoding,35
importNode,36
setEncoding,37
checkQName,38
removeChild,39
getFeature,40
getDocumentElement,41
getDoctype,42
saveXML,43
adoptNode,44
