method_name,cluster_label
reset,0
handleIncludeElement,0
getRecognizedFeatures,1
setFeature,1
getRecognizedProperties,1
setProperty,1
getFeatureDefault,1
getPropertyDefault,1
setDocumentHandler,1
getDocumentHandler,1
startDocument,1
xmlDecl,1
doctypeDecl,1
comment,1
processingInstruction,1
startElement,1
emptyElement,1
endElement,1
startGeneralEntity,1
textDecl,1
endGeneralEntity,1
characters,1
ignorableWhitespace,1
startCDATA,1
endCDATA,1
endDocument,1
setDocumentSource,1
getDocumentSource,1
attributeDecl,1
elementDecl,1
endAttlist,1
endConditional,1
endDTD,1
endExternalSubset,1
endParameterEntity,1
externalEntityDecl,1
getDTDSource,1
ignoredCharacters,1
internalEntityDecl,1
notationDecl,1
setDTDSource,1
startAttlist,1
startConditional,1
startDTD,1
startExternalSubset,1
startParameterEntity,1
unparsedEntityDecl,1
getDTDHandler,1
setDTDHandler,1
setErrorReporter,1
handleFallbackElement,1
hasXIncludeNamespace,1
isIncludeElement,1
isFallbackElement,1
sameBaseURIAsIncludeParent,1
sameLanguageAsIncludeParent,1
setupCurrentBaseURI,1
searchForRecursiveIncludes,1
isTopLevelIncludedItem,1
isTopLevelIncludedItemViaInclude,1
isTopLevelIncludedItemViaFallback,1
processAttributes,1
getRelativeBaseURI,1
getIncludeParentBaseURI,1
getIncludeParentLanguage,1
getIncludeParentDepth,1
getResultDepth,1
modifyAugmentations,1
getState,1
setState,1
setSawFallback,1
getSawFallback,1
setSawInclude,1
getSawInclude,1
reportResourceError,1
reportFatalError,1
reportError,1
setParent,1
setHref,1
setXIncludeLocator,1
isRootDocument,1
addUnparsedEntity,1
addNotation,1
checkUnparsedEntity,1
checkNotation,1
checkAndSendUnparsedEntity,1
checkAndSendNotation,1
checkWhitespace,1
checkMultipleRootElements,1
setRootElementProcessed,1
getRootElementProcessed,1
copyFeatures,1
copyFeatures1,1
saveBaseURI,1
restoreBaseURI,1
saveLanguage,1
restoreLanguage,1
getBaseURI,1
getLanguage,1
getRelativeURI,1
scopeOfBaseURI,1
scopeOfLanguage,1
processXMLBaseAttributes,1
processXMLLangAttributes,1
isValidInHTTPHeader,1
createInputSource,1
isEqual,1
escapeHref,1
