method_name,cluster_label
createAttribute,0
createElement,0
createEntityReference,0
createProcessingInstruction,0
createEntity,0
createNotation,0
createElementDefinition,0
getOwnerDocument,1
getNodeType,1
getNodeName,1
getTextContent,1
setTextContent,1
createCDATASection,1
createComment,1
createDocumentFragment,1
createTextNode,1
getElementsByTagName,1
getImplementation,1
canRenameElements,1
getAsync,1
setAsync,1
abort,1
load,1
loadXML,1
setMutationEvents,1
getMutationEvents,1
createDocumentType,1
createElementNS,1
createAttributeNS,1
getElementsByTagNameNS,1
isNormalizeDocRequired,1
addEventListener,1
removeEventListener,1
copyEventListeners,1
dispatchEvent,1
replacedText,1
deletedText,1
insertedText,1
modifyingCharacterData,1
modifiedCharacterData,1
insertingNode,1
insertedNode,1
removingNode,1
removedNode,1
replacingNode,1
replacedNode,1
replacingData,1
replacedCharacterData,1
modifiedAttrValue,1
setAttrNode,1
removedAttrNode,1
renamedAttrNode,1
renamedElement,1
insertBefore,2
replaceChild,2
renameNode,3
importNode,4
adoptNode,5
setErrorChecking,6
setStrictErrorChecking,6
getErrorChecking,6
getStrictErrorChecking,6
checkNamespaceWF,6
checkDOMNSErr,6
replaceRenameElement,7
normalizeDocument,8
cloneNode,9
removeChild,10
clone,10
getNodeNumber,11
isXMLVersionChanged,12
readObject,13
writeObject,13
isXMLName,14
isValidQName,14
isXML11Version,14
getUserDataRecord,15
removeUserDataTable,15
setUserDataTable,15
isKidOK,16
clearIdentifiers,17
getIdentifier,17
removeIdentifier,17
getIdentifiers,17
setXmlStandalone,18
getXmlStandalone,18
setXmlVersion,19
getNodeListCache,20
freeNodeListCache,20
getDocumentURI,21
getBaseURI,21
setDocumentURI,21
setXmlEncoding,22
getXmlEncoding,22
changed,23
changes,23
getInputEncoding,24
setInputEncoding,24
setUserData,25
getFeature,26
undeferChildren,27
getVersion,28
getUserData,29
getXmlVersion,30
putIdentifier,31
callUserDataHandlers,32
getEncoding,33
setVersion,34
getElementById,35
saveXML,36
setEncoding,37
getStandalone,38
checkQName,39
getDocumentElement,40
getDomConfig,41
setStandalone,42
getDoctype,43
