method_name,cluster_label
null2EmptyString,0
emptyString2Null,0
doc2SystemId,0
parseSchema,0
validateAnnotations,0
createAnnotationValidator,0
getGrammar,0
findGrammar,0
constructTrees,0
isExistingGrammar,0
updateImportListFor,0
updateImportListWith,0
traverseSchemas,0
needReportTNSError,0
addGlobalAttributeDecl,0
addGlobalAttributeGroupDecl,0
addGlobalElementDecl,0
addGlobalGroupDecl,0
addGlobalNotationDecl,0
addGlobalTypeDecl,0
addIDConstraintDecl,0
getGlobalAttributeDecl,0
getGlobalAttributeGroupDecl,0
getGlobalElementDecl,0
getGlobalGroupDecl,0
getGlobalNotationDecl,0
getGlobalTypeDecl,0
getIDConstraintDecl,0
getGlobalDecl,0
getGlobalDeclFromGrammar,0
traverseGlobalDecl,0
schemaDocument2SystemId,0
getGrpOrAttrGrpRedefinedByRestriction,0
resolveKeyRefs,0
getIDRegistry,0
getIDRegistry_sub,0
storeKeyRef,0
resolveSchema,0
resolveSchemaSource,0
getSchemaDocument,0
getSchemaDocument0,0
getSchemaDocument1,0
expandGrammars,0
existingGrammars,0
canAddComponents,0
canAddComponent,0
addGrammars,0
addGrammarComponents,0
createGrammarFrom,0
addNewGrammarLocations,0
addNewImportedGrammars,0
updateImportList,0
addNewGrammarComponents,0
addGlobalElementDecls,0
addGlobalAttributeDecls,0
addGlobalAttributeGroupDecls,0
addGlobalNotationDecls,0
addGlobalGroupDecls,0
addGlobalTypeDecls,0
expandComponents,0
expandRelatedComponents,0
expandRelatedAttributeComponents,0
expandRelatedElementComponents,0
expandRelatedTypeComponents,0
expandRelatedModelGroupDefinitionComponents,0
expandRelatedAttributeGroupComponents,0
expandRelatedComplexTypeComponents,0
expandRelatedSimpleTypeComponents,0
expandRelatedAttributeUsesComponents,0
expandRelatedAttributeUseComponents,0
expandRelatedParticleComponents,0
expandRelatedModelGroupComponents,0
addRelatedType,0
addRelatedElement,0
addRelatedAttribute,0
addGlobalComponents,0
addGlobalComponent,0
updateImportDependencies,0
expandImportList,0
addImportList,0
containedImportedGrammar,0
getSchemaGrammar,0
findDependentNamespaces,0
addNamespaceDependency,0
reportSharingError,0
createTraversers,0
prepareForParse,0
prepareForTraverse,0
setDeclPool,0
setDVFactory,0
traverseLocalElements,0
removeParticle,0
fillInLocalElemInfo,0
checkForDuplicateNames,0
renameRedefiningComponents,0
findQName,0
changeRedefineGroup,0
findXSDocumentForDecl,0
nonAnnotationContent,0
setSchemasVisible,0
element2Locator,0
reportSchemaError,0
reportSchemaWarning,0
setGenerateSyntheticAnnotations,0
reset,1
buildGlobalNameRegistries,2
