method_name,CHUNK_SHIFT,CHUNK_SIZE,CHUNK_MASK,LIST_FLAG,LIST_MASK,DEBUG,fDTDSource,fDTDContentModelSource,fCurrentElementIndex,fCurrentAttributeIndex,fReadingExternalDTD,fSymbolTable,fGrammarDescription,fElementDeclCount,fElementDeclName,fElementDeclType,fElementDeclContentSpecIndex,fElementDeclContentModelValidator,fElementDeclFirstAttributeDeclIndex,fElementDeclLastAttributeDeclIndex,fAttributeDeclCount,fAttributeDeclName,fIsImmutable,fAttributeDeclType,fAttributeDeclEnumeration,fAttributeDeclDefaultType,fAttributeDeclDatatypeValidator,fAttributeDeclDefaultValue,fAttributeDeclNonNormalizedDefaultValue,fAttributeDeclNextAttributeDeclIndex,fContentSpecCount,fContentSpecType,fContentSpecValue,fContentSpecOtherValue,fEntityCount,fEntityName,fEntityValue,fEntityPublicId,fEntitySystemId,fEntityBaseSystemId,fEntityNotation,fEntityIsPE,fEntityInExternal,fNotationCount,fNotationName,fNotationPublicId,fNotationSystemId,fNotationBaseSystemId,fMixed,fQName,fQName2,fAttributeDecl,fLeafCount,fElementDecl,fSimpleType,fContentSpec,fElementDeclTab,fOpStack,fNodeIndexStack,fPrevNodeIndexStack,fDepth,fPEntityStack,fPEDepth,fElementDeclIsExternal,fAttributeDeclIsExternal,nodeIndex,getAttributeDeclIndex,elementDecl,attributeDecl,notationDecl,pcdata,separator,occurrence,getElementDeclIndex,getElementDecl,getFirstAttributeDeclIndex,getNextAttributeDeclIndex,getAttributeDecl,getEntityDeclIndex,getNotationDeclIndex,getContentSpec,addContentSpecToElement,getElementContentModelValidator,createElementDecl,setElementDecl,setContentSpecIndex,createAttributeDecl,setAttributeDecl,createContentSpec,setContentSpec,createEntityDecl,setEntityDecl,createNotationDecl,setNotationDecl,addContentSpecNode,addUniqueLeafNode,initializeContentModelStack,appendContentSpec,printAttribute,createChildModel,buildSyntaxTree,contentSpecTree,ensureElementDeclCapacity,ensureAttributeDeclCapacity,ensureEntityDeclCapacity,ensureNotationDeclCapacity,ensureContentSpecCapacity,resize
getGrammarDescription,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getElementDeclIsExternal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getAttributeDeclIsExternal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getAttributeDeclIndex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
startDTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
startParameterEntity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
startExternalSubset,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endParameterEntity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endExternalSubset,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elementDecl,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
