method_name,cluster_label
getOwnerDocument,14
getNodeType,14
getNodeName,14
cloneNode,14
insertBefore,14
removeChild,14
replaceChild,14
getTextContent,9
setTextContent,9
getFeature,14
createAttribute,0
createCDATASection,0
createComment,0
createDocumentFragment,0
createElement,0
createEntityReference,0
createProcessingInstruction,0
createTextNode,0
getDoctype,14
getDocumentElement,14
getElementsByTagName,14
getImplementation,14
setErrorChecking,8
setStrictErrorChecking,8
getErrorChecking,8
getStrictErrorChecking,8
getInputEncoding,5
setInputEncoding,5
setXmlEncoding,5
setEncoding,5
getXmlEncoding,5
getEncoding,5
setXmlVersion,14
setVersion,14
getXmlVersion,14
getVersion,14
setXmlStandalone,4
setStandalone,4
getXmlStandalone,4
getStandalone,4
getDocumentURI,3
canRenameElements,14
renameNode,14
replaceRenameElement,14
normalizeDocument,14
getDomConfig,14
getBaseURI,3
setDocumentURI,3
getAsync,14
setAsync,14
abort,14
load,14
loadXML,14
saveXML,14
setMutationEvents,14
getMutationEvents,14
createDocumentType,0
createEntity,0
createNotation,0
createElementDefinition,0
getNodeNumber,14
importNode,14
adoptNode,14
undeferChildren,14
getElementById,14
clearIdentifiers,6
putIdentifier,6
getIdentifier,6
removeIdentifier,6
getIdentifiers,6
createElementNS,0
createAttributeNS,0
getElementsByTagNameNS,14
clone,14
isXMLName,14
isValidQName,14
isKidOK,14
changed,14
changes,14
getNodeListCache,2
freeNodeListCache,2
setUserData,7
getUserData,7
getUserDataRecord,7
removeUserDataTable,7
setUserDataTable,7
callUserDataHandlers,7
checkNamespaceWF,14
checkDOMNSErr,14
checkQName,14
isXML11Version,14
isNormalizeDocRequired,14
isXMLVersionChanged,14
addEventListener,14
removeEventListener,14
copyEventListeners,14
dispatchEvent,14
replacedText,14
deletedText,14
insertedText,14
modifyingCharacterData,14
modifiedCharacterData,14
insertingNode,14
insertedNode,14
removingNode,14
removedNode,14
replacingNode,14
replacedNode,14
replacingData,14
replacedCharacterData,14
modifiedAttrValue,14
setAttrNode,14
removedAttrNode,14
renamedAttrNode,14
renamedElement,14
readObject,1
writeObject,1
