method_name,cluster_label
null2EmptyString,14
emptyString2Null,14
doc2SystemId,14
parseSchema,14
validateAnnotations,14
createAnnotationValidator,0
getGrammar,14
findGrammar,14
constructTrees,14
isExistingGrammar,14
updateImportListFor,14
updateImportListWith,14
buildGlobalNameRegistries,12
traverseSchemas,14
needReportTNSError,8
addGlobalAttributeDecl,12
addGlobalAttributeGroupDecl,12
addGlobalElementDecl,12
addGlobalGroupDecl,12
addGlobalNotationDecl,12
addGlobalTypeDecl,12
addIDConstraintDecl,14
getGlobalAttributeDecl,12
getGlobalAttributeGroupDecl,12
getGlobalElementDecl,12
getGlobalGroupDecl,12
getGlobalNotationDecl,12
getGlobalTypeDecl,12
getIDConstraintDecl,14
getGlobalDecl,12
getGlobalDeclFromGrammar,12
traverseGlobalDecl,12
schemaDocument2SystemId,14
getGrpOrAttrGrpRedefinedByRestriction,14
resolveKeyRefs,14
getIDRegistry,14
getIDRegistry_sub,14
storeKeyRef,14
resolveSchema,14
resolveSchemaSource,14
getSchemaDocument,14
getSchemaDocument0,14
getSchemaDocument1,14
expandGrammars,14
existingGrammars,14
canAddComponents,13
canAddComponent,13
addGrammars,14
addGrammarComponents,13
createGrammarFrom,0
addNewGrammarLocations,14
addNewImportedGrammars,14
updateImportList,14
addNewGrammarComponents,13
addGlobalElementDecls,12
addGlobalAttributeDecls,12
addGlobalAttributeGroupDecls,12
addGlobalNotationDecls,12
addGlobalGroupDecls,12
addGlobalTypeDecls,12
expandComponents,13
expandRelatedComponents,13
expandRelatedAttributeComponents,13
expandRelatedElementComponents,13
expandRelatedTypeComponents,13
expandRelatedModelGroupDefinitionComponents,13
expandRelatedAttributeGroupComponents,13
expandRelatedComplexTypeComponents,13
expandRelatedSimpleTypeComponents,13
expandRelatedAttributeUsesComponents,13
expandRelatedAttributeUseComponents,13
expandRelatedParticleComponents,13
expandRelatedModelGroupComponents,13
addRelatedType,14
addRelatedElement,14
addRelatedAttribute,14
addGlobalComponents,12
addGlobalComponent,12
updateImportDependencies,14
expandImportList,14
addImportList,14
containedImportedGrammar,14
getSchemaGrammar,14
findDependentNamespaces,14
addNamespaceDependency,14
reportSharingError,8
createTraversers,0
prepareForParse,14
prepareForTraverse,14
setDeclPool,14
setDVFactory,14
reset,14
traverseLocalElements,14
removeParticle,14
fillInLocalElemInfo,14
checkForDuplicateNames,14
renameRedefiningComponents,13
findQName,14
changeRedefineGroup,14
findXSDocumentForDecl,14
nonAnnotationContent,9
setSchemasVisible,14
element2Locator,14
reportSchemaError,8
reportSchemaWarning,14
setGenerateSyntheticAnnotations,14
